order_id,product,quantity,price,date
1,Watch,3,1822.49,2024-01-01 00:00:00
2,Tablet,7,1843.29,2024-01-01 00:01:00
3,Watch,5,205.39,2024-01-01 00:02:00
4,Watch,9,771.86,2024-01-01 00:03:00
5,Phone,6,1222.9,2024-01-01 00:04:00
6,Phone,7,944.22,2024-01-01 00:05:00
7,Watch,8,1991.64,2024-01-01 00:06:00
8,Laptop,5,1839.19,2024-01-01 00:07:00
9,Laptop,7,1970.62,2024-01-01 00:08:00
10,Laptop,3,404.89,2024-01-01 00:09:00
11,Tablet,9,1020.13,2024-01-01 00:10:00
12,Tablet,3,726.94,2024-01-01 00:11:00
13,Laptop,9,1159.55,2024-01-01 00:12:00
14,Laptop,9,1324.83,2024-01-01 00:13:00
15,Tablet,6,1833.01,2024-01-01 00:14:00
16,Tablet,8,1089.31,2024-01-01 00:15:00
17,Laptop,3,1110.85,2024-01-01 00:16:00
18,Laptop,1,1040.03,2024-01-01 00:17:00
19,Phone,4,1555.17,2024-01-01 00:18:00
20,Laptop,6,1495.18,2024-01-01 00:19:00
21,Phone,2,1058.46,2024-01-01 00:20:00
22,Watch,1,1114.74,2024-01-01 00:21:00
23,Tablet,5,479.37,2024-01-01 00:22:00
24,Phone,4,1771.22,2024-01-01 00:23:00
25,Watch,2,1205.04,2024-01-01 00:24:00
26,Tablet,9,755.07,2024-01-01 00:25:00
27,Phone,3,1451.6,2024-01-01 00:26:00
28,Watch,6,1850.54,2024-01-01 00:27:00
29,Laptop,2,1580.67,2024-01-01 00:28:00
30,Laptop,4,1656.15,2024-01-01 00:29:00
31,Phone,1,406.66,2024-01-01 00:30:00
32,Watch,6,1942.43,2024-01-01 00:31:00
33,Phone,7,783.48,2024-01-01 00:32:00
34,Phone,3,870.27,2024-01-01 00:33:00
35,Laptop,2,531.38,2024-01-01 00:34:00
36,Tablet,3,1203.01,2024-01-01 00:35:00
37,Laptop,9,1952.31,2024-01-01 00:36:00
38,Laptop,4,1496.26,2024-01-01 00:37:00
39,Tablet,6,558.88,2024-01-01 00:38:00
40,Phone,6,1638.72,2024-01-01 00:39:00
41,Laptop,2,252.08,2024-01-01 00:40:00
42,Watch,7,1942.65,2024-01-01 00:41:00
43,Phone,7,1179.34,2024-01-01 00:42:00
44,Laptop,9,1076.2,2024-01-01 00:43:00
45,Tablet,4,1343.33,2024-01-01 00:44:00
46,Tablet,7,578.19,2024-01-01 00:45:00
47,Phone,8,1980.41,2024-01-01 00:46:00
48,Phone,1,747.71,2024-01-01 00:47:00
49,Tablet,9,1673.54,2024-01-01 00:48:00
50,Laptop,9,265.35,2024-01-01 00:49:00
51,Laptop,2,1212.25,2024-01-01 00:50:00
52,Tablet,8,483.94,2024-01-01 00:51:00
53,Tablet,6,1600.71,2024-01-01 00:52:00
54,Watch,1,1532.74,2024-01-01 00:53:00
55,Phone,5,300.38,2024-01-01 00:54:00
56,Watch,9,1328.33,2024-01-01 00:55:00
57,Phone,2,1769.01,2024-01-01 00:56:00
58,Phone,6,306.3,2024-01-01 00:57:00
59,Tablet,9,599.31,2024-01-01 00:58:00
60,Phone,7,832.69,2024-01-01 00:59:00
61,Tablet,2,1133.3,2024-01-01 01:00:00
62,Watch,1,718.0,2024-01-01 01:01:00
63,Watch,1,833.97,2024-01-01 01:02:00
64,Laptop,7,1141.66,2024-01-01 01:03:00
65,Tablet,4,959.71,2024-01-01 01:04:00
66,Watch,2,364.93,2024-01-01 01:05:00
67,Tablet,9,165.81,2024-01-01 01:06:00
68,Watch,4,624.46,2024-01-01 01:07:00
69,Watch,5,483.56,2024-01-01 01:08:00
70,Watch,1,149.12,2024-01-01 01:09:00
71,Laptop,5,1259.51,2024-01-01 01:10:00
72,Phone,4,277.63,2024-01-01 01:11:00
73,Phone,3,1506.92,2024-01-01 01:12:00
74,Laptop,7,1602.49,2024-01-01 01:13:00
75,Watch,2,135.64,2024-01-01 01:14:00
76,Phone,3,883.17,2024-01-01 01:15:00
77,Watch,8,194.87,2024-01-01 01:16:00
78,Tablet,8,212.26,2024-01-01 01:17:00
79,Tablet,3,1669.6,2024-01-01 01:18:00
80,Watch,2,1281.42,2024-01-01 01:19:00
81,Watch,2,1432.03,2024-01-01 01:20:00
82,Watch,9,1192.73,2024-01-01 01:21:00
83,Watch,1,160.79,2024-01-01 01:22:00
84,Tablet,3,1852.38,2024-01-01 01:23:00
85,Tablet,7,1403.89,2024-01-01 01:24:00
86,Laptop,1,562.95,2024-01-01 01:25:00
87,Phone,6,337.97,2024-01-01 01:26:00
88,Watch,4,851.31,2024-01-01 01:27:00
89,Watch,5,1400.07,2024-01-01 01:28:00
90,Phone,5,1682.98,2024-01-01 01:29:00
91,Watch,8,1067.91,2024-01-01 01:30:00
92,Watch,6,545.64,2024-01-01 01:31:00
93,Tablet,2,984.94,2024-01-01 01:32:00
94,Phone,1,1003.72,2024-01-01 01:33:00
95,Tablet,5,321.49,2024-01-01 01:34:00
96,Tablet,4,545.07,2024-01-01 01:35:00
97,Laptop,9,435.54,2024-01-01 01:36:00
98,Phone,7,127.92,2024-01-01 01:37:00
99,Laptop,2,1161.24,2024-01-01 01:38:00
100,Tablet,3,222.56,2024-01-01 01:39:00
101,Phone,4,348.28,2024-01-01 01:40:00
102,Tablet,4,928.38,2024-01-01 01:41:00
103,Phone,3,1464.89,2024-01-01 01:42:00
104,Laptop,2,1619.67,2024-01-01 01:43:00
105,Laptop,3,1546.6,2024-01-01 01:44:00
106,Watch,4,1970.1,2024-01-01 01:45:00
107,Watch,8,1205.44,2024-01-01 01:46:00
108,Tablet,2,356.37,2024-01-01 01:47:00
109,Tablet,6,1909.66,2024-01-01 01:48:00
110,Tablet,8,1630.73,2024-01-01 01:49:00
111,Laptop,9,549.66,2024-01-01 01:50:00
112,Laptop,1,575.47,2024-01-01 01:51:00
113,Tablet,5,1132.79,2024-01-01 01:52:00
114,Watch,1,771.73,2024-01-01 01:53:00
115,Laptop,7,734.24,2024-01-01 01:54:00
116,Phone,9,1450.78,2024-01-01 01:55:00
117,Phone,7,1359.59,2024-01-01 01:56:00
118,Phone,6,556.71,2024-01-01 01:57:00
119,Laptop,3,1815.65,2024-01-01 01:58:00
120,Watch,2,1293.62,2024-01-01 01:59:00
121,Tablet,8,1528.2,2024-01-01 02:00:00
122,Phone,9,1763.31,2024-01-01 02:01:00
123,Watch,6,1796.38,2024-01-01 02:02:00
124,Phone,6,377.0,2024-01-01 02:03:00
125,Tablet,9,587.12,2024-01-01 02:04:00
126,Tablet,4,427.01,2024-01-01 02:05:00
127,Tablet,6,290.5,2024-01-01 02:06:00
128,Watch,5,326.01,2024-01-01 02:07:00
129,Tablet,1,1018.69,2024-01-01 02:08:00
130,Laptop,4,893.8,2024-01-01 02:09:00
131,Tablet,3,1746.71,2024-01-01 02:10:00
132,Tablet,9,738.18,2024-01-01 02:11:00
133,Laptop,2,1071.34,2024-01-01 02:12:00
134,Laptop,3,341.55,2024-01-01 02:13:00
135,Tablet,9,1891.84,2024-01-01 02:14:00
136,Tablet,8,395.18,2024-01-01 02:15:00
137,Watch,1,1768.7,2024-01-01 02:16:00
138,Tablet,1,1928.4,2024-01-01 02:17:00
139,Tablet,6,271.45,2024-01-01 02:18:00
140,Phone,9,1507.49,2024-01-01 02:19:00
141,Laptop,5,1184.72,2024-01-01 02:20:00
142,Tablet,5,507.21,2024-01-01 02:21:00
143,Phone,4,437.06,2024-01-01 02:22:00
144,Tablet,1,602.43,2024-01-01 02:23:00
145,Laptop,6,1024.68,2024-01-01 02:24:00
146,Laptop,6,1020.77,2024-01-01 02:25:00
147,Phone,9,1596.77,2024-01-01 02:26:00
148,Laptop,1,885.37,2024-01-01 02:27:00
149,Laptop,5,1435.21,2024-01-01 02:28:00
150,Tablet,4,1987.46,2024-01-01 02:29:00
151,Watch,9,1680.75,2024-01-01 02:30:00
152,Watch,2,510.96,2024-01-01 02:31:00
153,Laptop,9,1728.02,2024-01-01 02:32:00
154,Phone,5,729.12,2024-01-01 02:33:00
155,Laptop,2,1533.95,2024-01-01 02:34:00
156,Laptop,5,1398.95,2024-01-01 02:35:00
157,Laptop,5,697.42,2024-01-01 02:36:00
158,Watch,6,1047.04,2024-01-01 02:37:00
159,Tablet,8,1133.63,2024-01-01 02:38:00
